DEBUG 2019-03-12 20:10:01,224 [1    ] Abp.AutoMapper.AbpAutoMapperModule       - AbpDemoOne.Sessions.Dto.TenantLoginInfoDto
DEBUG 2019-03-12 20:10:01,224 [1    ] Abp.AutoMapper.AbpAutoMapperModule       - AbpDemoOne.Sessions.Dto.UserLoginInfoDto
DEBUG 2019-03-12 20:10:01,224 [1    ] Abp.AutoMapper.AbpAutoMapperModule       - AbpDemoOne.Roles.Dto.CreateRoleDto
DEBUG 2019-03-12 20:10:01,225 [1    ] Abp.AutoMapper.AbpAutoMapperModule       - AbpDemoOne.Roles.Dto.PermissionDto
DEBUG 2019-03-12 20:10:01,225 [1    ] Abp.AutoMapper.AbpAutoMapperModule       - AbpDemoOne.Roles.Dto.RoleDto
DEBUG 2019-03-12 20:10:01,225 [1    ] Abp.AutoMapper.AbpAutoMapperModule       - AbpDemoOne.MultiTenancy.Dto.CreateTenantDto
DEBUG 2019-03-12 20:10:01,225 [1    ] Abp.AutoMapper.AbpAutoMapperModule       - AbpDemoOne.MultiTenancy.Dto.TenantDto
DEBUG 2019-03-12 20:10:01,225 [1    ] Abp.AutoMapper.AbpAutoMapperModule       - AbpDemoOne.Web.Views.Shared.Components.TenantChange.TenantChangeViewModel
DEBUG 2019-03-12 20:10:01,225 [1    ] Abp.AutoMapper.AbpAutoMapperModule       - AbpDemoOne.Web.Models.Roles.EditRoleModalViewModel
INFO  2019-03-12 20:10:06,850 [19   ] soft.AspNetCore.Hosting.Internal.WebHost - Request starting HTTP/1.1 DEBUG http://localhost:62114/  0
INFO  2019-03-12 20:10:06,850 [20   ] soft.AspNetCore.Hosting.Internal.WebHost - Request starting HTTP/1.1 GET http://localhost:62114/  
INFO  2019-03-12 20:10:06,943 [19   ] soft.AspNetCore.Hosting.Internal.WebHost - Request finished in 103.2852ms 200 
INFO  2019-03-12 20:10:10,847 [14   ] ore.Mvc.Internal.ControllerActionInvoker - Route matched with {action = "Index", controller = "Home", area = ""}. Executing action AbpDemoOne.Web.Controllers.HomeController.Index (AbpDemoOne.Web.Mvc)
INFO  2019-03-12 20:10:10,891 [14   ] uthorization.DefaultAuthorizationService - Authorization was successful.
INFO  2019-03-12 20:10:10,981 [14   ] ore.Mvc.Internal.ControllerActionInvoker - Executing action method AbpDemoOne.Web.Controllers.HomeController.Index (AbpDemoOne.Web.Mvc) - Validation state: Valid
INFO  2019-03-12 20:10:10,989 [14   ] ore.Mvc.Internal.ControllerActionInvoker - Executed action method AbpDemoOne.Web.Controllers.HomeController.Index (AbpDemoOne.Web.Mvc), returned result Microsoft.AspNetCore.Mvc.ViewResult in 3.565ms.
INFO  2019-03-12 20:10:11,315 [13   ] Core.Mvc.ViewFeatures.ViewResultExecutor - Executing ViewResult, running view Index.
INFO  2019-03-12 20:10:13,460 [18   ] Core.Mvc.ViewFeatures.ViewResultExecutor - Executed ViewResult - view Index executed in 2193.1229ms.
INFO  2019-03-12 20:10:13,469 [18   ] ore.Mvc.Internal.ControllerActionInvoker - Executed action AbpDemoOne.Web.Controllers.HomeController.Index (AbpDemoOne.Web.Mvc) in 2619.2158ms
INFO  2019-03-12 20:10:13,473 [12   ] soft.AspNetCore.Hosting.Internal.WebHost - Request starting HTTP/1.1 GET http://localhost:62114/fonts/material-icons/materialicons.css?v=2SsVsQpWRHM3EJ4D4MT4RRpiEXbEuK0vEjPxVr5P7Ek  
INFO  2019-03-12 20:10:13,475 [7    ] soft.AspNetCore.Hosting.Internal.WebHost - Request starting HTTP/1.1 GET http://localhost:62114/lib/bootstrap/dist/css/bootstrap.css?v=fmMNkMcjSw3xcp9iuPnku_ryk9kaWgrEbfJfKmdZ45o  
INFO  2019-03-12 20:10:13,478 [19   ] soft.AspNetCore.Hosting.Internal.WebHost - Request starting HTTP/1.1 GET http://localhost:62114/fonts/roboto/roboto.css?v=DWPiEyLnt8XZ68WQeudmZPGSejowhmQNUUhaX8dYF1Q  
INFO  2019-03-12 20:10:13,480 [6    ] soft.AspNetCore.Hosting.Internal.WebHost - Request starting HTTP/1.1 GET http://localhost:62114/lib/bootstrap-select/dist/css/bootstrap-select.css?v=a7N4Jki3LzSbThclvqbu4nF45twcjuc772JGFhY9qwk  
INFO  2019-03-12 20:10:13,482 [14   ] soft.AspNetCore.Hosting.Internal.WebHost - Request starting HTTP/1.1 GET http://localhost:62114/lib/toastr/toastr.css?v=W8a9WvLyUO7CXtOC4f9LoUMwkywM7JSq-Xm5kNsYW08  
INFO  2019-03-12 20:10:13,505 [18   ] soft.AspNetCore.Hosting.Internal.WebHost - Request finished in 6672.6042ms 200 text/html; charset=utf-8
INFO  2019-03-12 20:10:13,507 [18   ] soft.AspNetCore.Hosting.Internal.WebHost - Request starting HTTP/1.1 GET http://localhost:62114/lib/famfamfam-flags/dist/sprite/famfamfam-flags.css?v=l7wu43l7XpKWzFn29hiH8AFe4I_CNzbCPmaAQivPYMg  
INFO  2019-03-12 20:10:13,520 [15   ] NetCore.StaticFiles.StaticFileMiddleware - Sending file. Request path: '/fonts/roboto/roboto.css'. Physical path: 'E:\Study\AbpDemoOne\4.6.0\aspnet-core\src\AbpDemoOne.Web.Mvc\wwwroot\fonts\roboto\roboto.css'
INFO  2019-03-12 20:10:13,522 [13   ] NetCore.StaticFiles.StaticFileMiddleware - Sending file. Request path: '/lib/bootstrap-select/dist/css/bootstrap-select.css'. Physical path: 'E:\Study\AbpDemoOne\4.6.0\aspnet-core\src\AbpDemoOne.Web.Mvc\wwwroot\lib\bootstrap-select\dist\css\bootstrap-select.css'
INFO  2019-03-12 20:10:13,524 [16   ] NetCore.StaticFiles.StaticFileMiddleware - Sending file. Request path: '/lib/toastr/toastr.css'. Physical path: 'E:\Study\AbpDemoOne\4.6.0\aspnet-core\src\AbpDemoOne.Web.Mvc\wwwroot\lib\toastr\toastr.css'
INFO  2019-03-12 20:10:13,525 [13   ] soft.AspNetCore.Hosting.Internal.WebHost - Request finished in 45.1602ms 200 text/css
INFO  2019-03-12 20:10:13,527 [15   ] soft.AspNetCore.Hosting.Internal.WebHost - Request finished in 51.0414ms 200 text/css
INFO  2019-03-12 20:10:13,529 [16   ] soft.AspNetCore.Hosting.Internal.WebHost - Request finished in 44.0835ms 200 text/css
INFO  2019-03-12 20:10:13,530 [14   ] soft.AspNetCore.Hosting.Internal.WebHost - Request starting HTTP/1.1 GET http://localhost:62114/css/materialize.css?v=OdWlipUYj8b9Oa4RyT45njteIcxH-4pGocqe0r0V8js  
INFO  2019-03-12 20:10:13,532 [15   ] soft.AspNetCore.Hosting.Internal.WebHost - Request starting HTTP/1.1 GET http://localhost:62114/lib/Waves/dist/waves.css?v=0zP86LzXedNkkBjePtKrMTAPuIy6EzHfGlyYvsmGLBw  
INFO  2019-03-12 20:10:13,533 [16   ] soft.AspNetCore.Hosting.Internal.WebHost - Request starting HTTP/1.1 GET http://localhost:62114/lib/animate.css/animate.css?v=00w68NO3TLuHjKRHJmjrrgJBDtG_6OhbJEu1gtHcsuo  
INFO  2019-03-12 20:10:13,534 [17   ] NetCore.StaticFiles.StaticFileMiddleware - Sending file. Request path: '/fonts/material-icons/materialicons.css'. Physical path: 'E:\Study\AbpDemoOne\4.6.0\aspnet-core\src\AbpDemoOne.Web.Mvc\wwwroot\fonts\material-icons\materialicons.css'
INFO  2019-03-12 20:10:13,536 [20   ] NetCore.StaticFiles.StaticFileMiddleware - Sending file. Request path: '/lib/famfamfam-flags/dist/sprite/famfamfam-flags.css'. Physical path: 'E:\Study\AbpDemoOne\4.6.0\aspnet-core\src\AbpDemoOne.Web.Mvc\wwwroot\lib\famfamfam-flags\dist\sprite\famfamfam-flags.css'
INFO  2019-03-12 20:10:13,539 [12   ] NetCore.StaticFiles.StaticFileMiddleware - Sending file. Request path: '/css/materialize.css'. Physical path: 'E:\Study\AbpDemoOne\4.6.0\aspnet-core\src\AbpDemoOne.Web.Mvc\wwwroot\css\materialize.css'
INFO  2019-03-12 20:10:13,540 [17   ] soft.AspNetCore.Hosting.Internal.WebHost - Request finished in 64.8089ms 200 text/css
INFO  2019-03-12 20:10:13,542 [12   ] soft.AspNetCore.Hosting.Internal.WebHost - Request finished in 11.2954ms 200 text/css
INFO  2019-03-12 20:10:13,543 [6    ] NetCore.StaticFiles.StaticFileMiddleware - Sending file. Request path: '/lib/bootstrap/dist/css/bootstrap.css'. Physical path: 'E:\Study\AbpDemoOne\4.6.0\aspnet-core\src\AbpDemoOne.Web.Mvc\wwwroot\lib\bootstrap\dist\css\bootstrap.css'
INFO  2019-03-12 20:10:13,545 [12   ] soft.AspNetCore.Hosting.Internal.WebHost - Request starting HTTP/1.1 GET http://localhost:62114/css/themes/all-themes.css?v=XaAlkmhL9gA6mBxpcxGYAWxggxkIpRmT9qGbKejs6eA  
INFO  2019-03-12 20:10:13,547 [17   ] soft.AspNetCore.Hosting.Internal.WebHost - Request starting HTTP/1.1 GET http://localhost:62114/lib/font-awesome/css/font-awesome.css?v=NuCn4IvuZXdBaFKJOAcsU2Q3ZpwbdFisd5dux4jkQ5w  
INFO  2019-03-12 20:10:13,548 [6    ] soft.AspNetCore.Hosting.Internal.WebHost - Request finished in 74.1667ms 200 text/css
INFO  2019-03-12 20:10:13,550 [20   ] soft.AspNetCore.Hosting.Internal.WebHost - Request finished in 31.2303ms 200 text/css
INFO  2019-03-12 20:10:13,551 [6    ] soft.AspNetCore.Hosting.Internal.WebHost - Request starting HTTP/1.1 GET http://localhost:62114/lib/morris.js/morris.css?v=szHusaozbQctTn4FX-3l5E0A5zoxz7-ne4fr8NgWJlw  
INFO  2019-03-12 20:10:13,553 [7    ] NetCore.StaticFiles.StaticFileMiddleware - Sending file. Request path: '/lib/font-awesome/css/font-awesome.css'. Physical path: 'E:\Study\AbpDemoOne\4.6.0\aspnet-core\src\AbpDemoOne.Web.Mvc\wwwroot\lib\font-awesome\css\font-awesome.css'
INFO  2019-03-12 20:10:13,575 [14   ] NetCore.StaticFiles.StaticFileMiddleware - Sending file. Request path: '/css/themes/all-themes.css'. Physical path: 'E:\Study\AbpDemoOne\4.6.0\aspnet-core\src\AbpDemoOne.Web.Mvc\wwwroot\css\themes\all-themes.css'
INFO  2019-03-12 20:10:13,577 [7    ] soft.AspNetCore.Hosting.Internal.WebHost - Request finished in 13.0511ms 200 text/css
INFO  2019-03-12 20:10:13,578 [13   ] NetCore.StaticFiles.StaticFileMiddleware - Sending file. Request path: '/lib/animate.css/animate.css'. Physical path: 'E:\Study\AbpDemoOne\4.6.0\aspnet-core\src\AbpDemoOne.Web.Mvc\wwwroot\lib\animate.css\animate.css'
INFO  2019-03-12 20:10:13,579 [7    ] soft.AspNetCore.Hosting.Internal.WebHost - Request starting HTTP/1.1 GET http://localhost:62114/images/user.png  
INFO  2019-03-12 20:10:13,581 [13   ] soft.AspNetCore.Hosting.Internal.WebHost - Request finished in 49.0974ms 200 text/css
INFO  2019-03-12 20:10:13,582 [14   ] soft.AspNetCore.Hosting.Internal.WebHost - Request finished in 33.7047ms 200 text/css
INFO  2019-03-12 20:10:13,583 [15   ] NetCore.StaticFiles.StaticFileMiddleware - Sending file. Request path: '/lib/morris.js/morris.css'. Physical path: 'E:\Study\AbpDemoOne\4.6.0\aspnet-core\src\AbpDemoOne.Web.Mvc\wwwroot\lib\morris.js\morris.css'
INFO  2019-03-12 20:10:13,584 [14   ] soft.AspNetCore.Hosting.Internal.WebHost - Request starting HTTP/1.1 GET http://localhost:62114/lib/json2/json2.js?v=EZJ68U7eUi8uSP0MRRUalYten2eOlhREE9kJOIbIeYg  
INFO  2019-03-12 20:10:13,586 [20   ] soft.AspNetCore.Hosting.Internal.WebHost - Request starting HTTP/1.1 GET http://localhost:62114/css/style.css?v=151KUrNx-cFGpjXC7QZ8WbWSo-mQTLO0htvGyBUR_i8  
INFO  2019-03-12 20:10:13,588 [18   ] soft.AspNetCore.Hosting.Internal.WebHost - Request finished in 36.1838ms 200 text/css
INFO  2019-03-12 20:10:13,589 [12   ] NetCore.StaticFiles.StaticFileMiddleware - Sending file. Request path: '/images/user.png'. Physical path: 'E:\Study\AbpDemoOne\4.6.0\aspnet-core\src\AbpDemoOne.Web.Mvc\wwwroot\images\user.png'
